business_id,full_address,city,review_count,name,longitude,stars,latitude,sno
5UmKMjUEUNdYWqANhGckJw,"4734 Lebanon Church Rd
Dravosburg, PA 15034",Dravosburg,4,Mr Hoagie,-79.9007057,4.5,40.3543266,1
UsFtqoBl7naz8AVUBZMjQQ,"202 McClure St
Dravosburg, PA 15034",Dravosburg,4,Clancy's Pub,-79.8868138,3.5,40.3505527,2
3eu6MEFlq2Dg7bQh8QbdOg,"1 Ravine St
Dravosburg, PA 15034",Dravosburg,3,Joe Cislo's Auto,-79.889059,5,40.3509559,3
cE27W9VPgO88Qxe4ol6y_g,"1530 Hamilton Rd
Bethel Park, PA 15234",Bethel Park,5,Cool Springs Golf Center,-80.0146597,2.5,40.3541155,4
HZdLhv6COCleJMo7nPl-RA,"301 South Hills Village
Pittsburgh, PA 15241",Pittsburgh,5,Verizon,-80.05998,2.5,40.35762,5
mVHrayjG3uZ_RLHkLj-AMg,"414 Hawkins Ave
rankin, PA 15104",rankin,20,Emil's Lounge,-79.8802474,5,40.4134643,6
VHYT1qgQw5JvXAlUDhTArA,"2101 Greentree Rd Ste B201
Pittsburgh, PA 15220",Pittsburgh,3,Extreme Fitness 2,-80.0708968,2.5,40.3903858,7
KayYbHCt-RkbGcPdGOThNg,"141 Hawthorne St
Greentree
Carnegie, PA 15106",Carnegie,21,Alexion's Bar & Grill,-80.067534,4,40.415517,8
b12U9TFESStdy7CsTtcOeg,"718A Hope Hollow Rd
Carnegie, PA 15106",Carnegie,7,Flynn's Tire And Auto Service,-80.0844539,2.5,40.394588,9
Sktj1eHQFuVa-M4bgnEh8g,"920 Forsythe Rd
Carnegie
Carnegie, PA 15106",Carnegie,4,Forsythe Miniature Golf & Snacks,-80.0762665,4,40.4054039,10
3ZVKmuK2l7uXPE6lXY4Dbg,"8 Logan St
Carnegie
Carnegie, PA 15106",Carnegie,3,Quaker State Construction,-80.0903575,2.5,40.406323,11
